"","end_location_lat","end_location_long","start_location_lat","start_location_long","total_rides","start_dist_from_bus","end_dist_from_bus","start_lat_bin","start_long_bin","start_grid_cell"
"57",30.17,-97.79,30.15,-97.74,12,2244.25409166681,1457.06223270922,2,2,"2-2"
"58",30.17,-97.79,30.17,-97.79,10,1457.06223270922,1457.06223270922,2,1,"2-1"
"59",30.17,-97.79,30.19,-97.77,13,499.55325173355,1457.06223270922,2,1,"2-1"
"60",30.17,-97.79,30.26,-97.74,17,784.850728204676,1457.06223270922,3,2,"3-2"
"61",30.17,-97.79,30.26,-97.73,15,450.62176487427,1457.06223270922,3,2,"3-2"
"62",30.17,-97.79,30.27,-97.75,18,277.629227185794,1457.06223270922,3,1,"3-1"
"63",30.17,-97.79,30.27,-97.74,29,670.185417296239,1457.06223270922,3,2,"3-2"
"64",30.17,-97.78,30.16,-97.79,55,1631.18904507838,3023.07098233708,2,1,"2-1"
"65",30.17,-97.78,30.17,-97.78,10,3023.07098233708,3023.07098233708,2,1,"2-1"
"66",30.17,-97.78,30.2,-97.67,23,3878.94046085171,3023.07098233708,2,3,"2-3"
"67",30.17,-97.78,30.21,-97.76,16,2949.87314894138,3023.07098233708,2,1,"2-1"
"68",30.17,-97.78,30.22,-97.74,10,1068.85449395561,3023.07098233708,2,2,"2-2"
"69",30.17,-97.78,30.23,-97.72,43,529.768493036874,3023.07098233708,2,2,"2-2"
"70",30.17,-97.78,30.26,-97.74,24,784.850728204676,3023.07098233708,3,2,"3-2"
"71",30.17,-97.78,30.27,-97.75,38,277.629227185794,3023.07098233708,3,1,"3-1"
"72",30.17,-97.78,30.27,-97.74,62,670.185417296239,3023.07098233708,3,2,"3-2"
"73",30.17,-97.76,30.22,-97.74,16,1068.85449395561,2794.01563747043,2,2,"2-2"
"74",30.17,-97.63,30.2,-97.77,32,1032.03853426798,2012.25458920285,2,1,"2-1"
"75",30.18,-97.79,30.23,-97.76,13,160.342237960925,1579.23185541551,2,1,"2-1"
"76",30.18,-97.79,30.27,-97.75,15,277.629227185794,1579.23185541551,3,1,"3-1"
"77",30.18,-97.79,30.27,-97.74,21,670.185417296239,1579.23185541551,3,2,"3-2"
"78",30.18,-97.78,30.16,-97.79,17,1631.18904507838,1927.74470809872,2,1,"2-1"
"79",30.18,-97.78,30.18,-97.78,11,1927.74470809872,1927.74470809872,2,1,"2-1"
"80",30.18,-97.78,30.19,-97.77,11,499.55325173355,1927.74470809872,2,1,"2-1"
"81",30.18,-97.78,30.2,-97.67,26,3878.94046085171,1927.74470809872,2,3,"2-3"
"82",30.18,-97.78,30.26,-97.74,20,784.850728204676,1927.74470809872,3,2,"3-2"
"83",30.18,-97.78,30.27,-97.75,53,277.629227185794,1927.74470809872,3,1,"3-1"
"84",30.18,-97.78,30.27,-97.74,57,670.185417296239,1927.74470809872,3,2,"3-2"
