veh_lat_rnd,veh_long_rnd,rides_on,rides_off,raw_on,raw_off
35.03,-107.48,3,2,3,2
35.03,-106.95,9,9,9,9
35.04,-110.7,0,1,0,1
35.06,-109.78,2,3,2,3
35.06,-106.79,4,2,4,2
35.08,-106.75,5,4,5,4
35.09,-106.74,0,0,0,0
35.11,-118.32,4,3,4,3
35.11,-111.01,1,2,1,2
35.13,-109.54,0,0,0,0
35.14,-118.45,3,3,3,3
35.14,-118.43,0,1,0,1
35.14,-114.09,0,0,0,0
35.16,-113.63,1,1,1,1
35.16,-103.7,0,2,0,2
35.18,-107.9,0,0,0,0
35.19,-114.06,1,2,1,2
35.19,-113.45,4,4,4,4
35.19,-113.37,3,3,3,3
35.19,-111.71,1,1,1,1
35.19,-102.01,1,1,1,1
35.19,-101.88,0,1,0,1
35.19,-101.74,0,0,0,0
35.2,-113.9,6,4,6,4
35.2,-111.61,3,4,3,4
35.2,-101.74,0,1,0,1
35.21,-114.04,1,3,1,3
35.21,-114.03,1,0,1,0
35.21,-114.01,2,1,2,1
35.22,-114.04,2,3,2,3
35.22,-112.5,0,0,0,0
35.22,-112.24,1,2,1,2
35.23,-112.63,0,0,0,0
35.23,-112.23,1,1,1,1
35.24,-111.82,1,1,1,1
35.25,-118.6,1,1,1,1
35.35,-118.95,14,9,14,9
35.35,-118.92,1,1,1,1
35.36,-109.05,8,8,8,8
35.38,-119.05,1,1,1,1
35.4,-119.4,6,6,6,6
35.4,-109.01,4,2,4,2
35.41,-119.06,0,0,0,0
35.42,-119.06,0,1,0,1
35.44,-119.08,0,0,0,0
35.48,-108.9,0,0,0,0
35.49,-108.9,4,3,4,3
35.5,-119.53,0,0,0,0
35.51,-108.83,9,9,9,9
35.53,-108.73,1,1,1,1
35.53,-108.67,20,21,20,21
35.57,-119.61,0,0,0,0
35.6,-119.36,5,6,5,6
35.6,-119.35,1,1,1,1
35.6,-119.34,3,3,3,3
35.61,-119.66,3,3,3,3
35.61,-115.39,2,2,2,2
35.62,-119.66,8,8,8,8
35.62,-119.65,3,1,3,1
35.97,-114.86,1,1,1,1
36.04,-120.04,0,0,0,0
36.09,-120.12,2,2,2,2
36.11,-119.32,1,1,1,1
36.17,-115.14,9,4,9,4
36.18,-119.33,3,3,3,3
36.24,-115.07,0,0,0,0
36.24,-115.06,2,1,2,1
36.25,-120.25,2,2,2,2
36.26,-120.25,0,0,0,0
36.28,-115.03,6,5,6,5
36.29,-120.27,1,1,1,1
36.46,-120.42,0,0,0,0
36.57,-119.63,16,17,16,17
36.6,-120.59,1,1,1,1
36.64,-120.63,2,2,2,2
36.78,-114.27,0,0,0,0
36.83,-119.92,4,3,4,3
36.86,-120.78,0,0,0,0
36.99,-104.49,0,1,0,1
36.99,-104.48,1,0,1,0
37,-121.55,4,2,4,2
37.02,-120.13,2,0,2,0
37.05,-121.02,1,1,1,1
37.05,-121.01,2,0,2,0
37.11,-121.02,3,4,3,4
37.11,-113.56,8,8,8,8
37.12,-121.62,1,2,1,2
37.4,-121.14,0,0,0,0
37.46,-121.14,15,14,15,14
37.47,-121.13,2,3,2,3
37.53,-121.26,0,0,0,0
37.54,-121.27,36,37,36,37
37.54,-121.26,12,11,12,11
37.58,-122.05,1,2,1,2
37.58,-121.32,3,3,3,3
37.6,-122.07,0,0,0,0
37.61,-122.07,3,4,3,4
37.61,-122.06,0,1,0,1
37.62,-122.14,2,1,2,1
37.62,-122.13,0,0,0,0
37.62,-122.12,0,0,0,0
37.63,-122.13,46,35,46,35
37.63,-122.12,14216,12740,14216,12740
37.63,-122.11,12,11,12,11
37.63,-122.08,1,1,1,1
37.65,-122.09,1,0,1,0
37.66,-122.13,33,34,33,34
37.67,-122.11,1,1,1,1
37.69,-122.13,1,1,1,1
37.69,-122.07,1,1,1,1
37.7,-121.97,2,2,2,2
37.7,-121.74,2,2,2,2
37.72,-121.66,0,0,0,0
37.73,-113.05,1,1,1,1
37.74,-121.59,1,1,1,1
38.34,-104.62,5,7,5,7
38.72,-104.73,2,3,2,3
38.9,-110.54,3,2,3,2
39.11,-108.64,3,2,3,2
39.17,-76.88,0,0,0,0
39.21,-106.96,18,15,18,15
39.21,-106.95,18,15,18,15
39.55,-107.33,12,14,12,14
39.56,-107.36,7,6,7,6
39.73,-105.17,4,4,4,4
