"","veh_lat_rnd","veh_long_rnd","ons","offs","bus_lat_bin","bus_long_bin","bus_ride_grid_cell"
"117",30.27,-97.78,205,53,3,1,"3-1"
"118",30.27,-97.77,290,312,3,1,"3-1"
"119",30.27,-97.76,1579,906,3,1,"3-1"
"120",30.27,-97.75,48226,51650,3,1,"3-1"
"121",30.27,-97.74,37862,35409,3,2,"3-2"
"122",30.27,-97.73,1104,1322,3,2,"3-2"
"123",30.27,-97.72,2808,2790,3,2,"3-2"
"124",30.27,-97.71,2454,2110,3,2,"3-2"
"125",30.27,-97.7,2414,2301,3,2,"3-2"
"126",30.27,-97.69,3063,2807,3,2,"3-2"
"127",30.27,-97.68,229,210,3,3,"3-3"
"128",30.28,-97.78,597,684,3,1,"3-1"
"129",30.28,-97.77,1930,1706,3,1,"3-1"
"130",30.28,-97.76,637,1022,3,1,"3-1"
"131",30.28,-97.75,878,772,3,1,"3-1"
"132",30.28,-97.74,19817,22568,3,2,"3-2"
"133",30.28,-97.73,14332,15991,3,2,"3-2"
"134",30.28,-97.72,2282,2655,3,2,"3-2"
"135",30.28,-97.71,3544,3428,3,2,"3-2"
"136",30.28,-97.7,1337,1321,3,2,"3-2"
"137",30.28,-97.69,1400,1449,3,2,"3-2"
"138",30.28,-97.68,434,381,3,3,"3-3"
"139",30.28,-97.67,848,823,3,3,"3-3"
"140",30.28,-97.66,359,321,3,3,"3-3"
"141",30.28,-97.65,0,1,3,3,"3-3"
"142",30.28,-97.64,0,3,3,3,"3-3"
"143",30.28,-97.63,1,8,3,3,"3-3"
"144",30.28,-97.62,79,90,3,4,"3-4"
"145",30.29,-97.78,1511,1340,3,1,"3-1"
"146",30.29,-97.77,339,312,3,1,"3-1"
"147",30.29,-97.76,1,0,3,1,"3-1"
"148",30.29,-97.75,3850,3618,3,1,"3-1"
"149",30.29,-97.74,62563,62719,3,2,"3-2"
"150",30.29,-97.73,47303,42212,3,2,"3-2"
"151",30.29,-97.72,2530,2186,3,2,"3-2"
"152",30.29,-97.71,1662,1557,3,2,"3-2"
"153",30.29,-97.7,795,722,3,2,"3-2"
"154",30.29,-97.69,96,110,3,2,"3-2"
"155",30.29,-97.68,1601,1670,3,3,"3-3"
"156",30.29,-97.67,113,88,3,3,"3-3"
"157",30.29,-97.66,1,1,3,3,"3-3"
"158",30.29,-97.65,83,62,3,3,"3-3"
"159",30.29,-97.64,1,1,3,3,"3-3"
"160",30.29,-97.63,1671,1596,3,3,"3-3"
"161",30.29,-97.62,110,98,3,4,"3-4"
"162",30.3,-97.78,64,92,3,1,"3-1"
"163",30.3,-97.77,170,138,3,1,"3-1"
"164",30.3,-97.76,82,95,3,1,"3-1"
"165",30.3,-97.75,142,137,3,1,"3-1"
"166",30.3,-97.74,9752,9498,3,2,"3-2"
"167",30.3,-97.73,5579,5313,3,2,"3-2"
"168",30.3,-97.72,10155,9060,3,2,"3-2"
"169",30.3,-97.71,1298,1322,3,2,"3-2"
"170",30.3,-97.7,869,902,3,2,"3-2"
"171",30.3,-97.69,765,640,3,2,"3-2"
"172",30.3,-97.68,3480,3297,3,3,"3-3"
"173",30.3,-97.67,176,228,3,3,"3-3"
"174",30.3,-97.66,1242,1195,3,3,"3-3"
"175",30.3,-97.65,1265,1159,3,3,"3-3"
"176",30.3,-97.64,273,225,3,3,"3-3"
"177",30.3,-97.63,140,121,3,3,"3-3"
"178",30.31,-97.76,245,319,3,1,"3-1"
"179",30.31,-97.75,586,659,3,1,"3-1"
"180",30.31,-97.74,2828,3013,3,2,"3-2"
"181",30.31,-97.73,9945,9424,3,2,"3-2"
"182",30.31,-97.72,5196,4861,3,2,"3-2"
"183",30.31,-97.71,3440,3904,3,2,"3-2"
"184",30.31,-97.7,1557,1050,3,2,"3-2"
"185",30.31,-97.69,3978,3510,3,2,"3-2"
"186",30.31,-97.68,1585,1531,3,3,"3-3"
"187",30.31,-97.67,4223,3896,3,3,"3-3"
"188",30.31,-97.66,1607,1746,3,3,"3-3"
"189",30.31,-97.65,260,243,3,3,"3-3"
"190",30.31,-97.64,20,35,3,3,"3-3"
