veh_lat_rnd,veh_long_rnd,ons,offs
30.3,-97.66,1242,1195
30.3,-97.65,1265,1159
30.3,-97.64,273,225
30.3,-97.63,140,121
30.31,-97.76,245,319
30.31,-97.75,586,659
30.31,-97.74,2828,3013
30.31,-97.73,9945,9424
30.31,-97.72,5196,4861
30.31,-97.71,3440,3904
30.31,-97.7,1557,1050
30.31,-97.69,3978,3510
30.31,-97.68,1585,1531
30.31,-97.67,4223,3896
30.31,-97.66,1607,1746
30.31,-97.65,260,243
30.31,-97.64,20,35
30.31,-97.62,118,104
30.32,-97.76,0,0
30.32,-97.75,228,182
30.32,-97.74,1971,2280
30.32,-97.73,3168,2906
30.32,-97.72,1284,1475
30.32,-97.71,2849,2804
30.32,-97.7,3252,2994
30.32,-97.69,2232,2513
30.32,-97.68,556,497
30.32,-97.67,1,44
30.32,-97.66,123,151
30.32,-97.63,2,0
30.32,-97.62,1,1
30.33,-97.76,112,113
30.33,-97.75,94,90
30.33,-97.74,5608,5524
30.33,-97.73,3806,3741
30.33,-97.72,3019,3314
30.33,-97.71,11330,10943
30.33,-97.7,3468,3677
30.33,-97.69,6364,5924
30.33,-97.68,42,340
30.33,-97.67,288,251
30.33,-97.66,217,258
30.34,-97.76,388,463
30.34,-97.75,60,62
30.34,-97.74,348,313
30.34,-97.73,248,210
30.34,-97.72,5044,4918
30.34,-97.71,755,652
30.34,-97.7,414,211
30.34,-97.69,9698,9493
30.34,-97.68,1360,1181
30.34,-97.67,44,61
30.34,-97.66,84,92
30.35,-97.78,1,1
30.35,-97.76,1220,1281
30.35,-97.75,2982,3336
30.35,-97.74,898,1220
30.35,-97.73,3226,3692
30.35,-97.72,410,361
30.35,-97.71,25397,24574
30.35,-97.7,1177,1293
30.35,-97.69,2,2
30.35,-97.68,2273,2071
30.36,-97.76,50,52
30.36,-97.75,5695,4560
30.36,-97.74,3223,3005
30.36,-97.73,4563,4021
30.36,-97.72,2409,2561
30.36,-97.71,87,51
30.36,-97.7,15881,14400
30.36,-97.69,4461,4801
30.36,-97.68,1227,1027
30.37,-97.76,396,289
30.37,-97.75,148,311
30.37,-97.74,244,184
30.37,-97.73,1320,1480
30.37,-97.72,21085,21339
30.37,-97.71,2107,2647
30.37,-97.7,1776,1717
30.37,-97.69,2335,2055
30.37,-97.67,116,104
30.38,-97.74,0,0
30.38,-97.73,879,684
30.38,-97.72,9750,10027
30.38,-97.71,767,665
30.38,-97.69,2248,2448
30.38,-97.68,378,199
30.38,-97.67,207,204
30.38,-97.66,368,266
30.39,-97.84,3,1
30.39,-97.83,0,1
30.39,-97.76,6,7
30.39,-97.75,920,1044
30.39,-97.74,2458,2322
30.39,-97.73,2050,2125
30.39,-97.72,4251,4169
30.39,-97.71,1454,1402
30.39,-97.7,129,140
30.39,-97.69,86,49
30.39,-97.68,199,170
30.39,-97.67,0,2
30.39,-97.66,191,164
30.4,-97.75,2459,2365
30.4,-97.74,155,333
30.4,-97.73,186,189
30.4,-97.72,3524,3627
30.4,-97.71,466,543
30.4,-97.7,1702,1423
30.4,-97.68,104,164
30.4,-97.67,199,188
30.4,-97.66,217,197
30.41,-97.85,6,13
30.41,-97.75,695,492
30.41,-97.74,54,115
30.41,-97.72,70,44
30.41,-97.71,299,354
30.41,-97.7,1033,1006
30.41,-97.69,493,549
30.41,-97.68,702,585
30.41,-97.67,2,25
30.41,-97.66,66,139
30.41,-97.65,0,0
30.42,-97.75,408,407
30.42,-97.72,28,38
30.42,-97.71,14,1
30.42,-97.7,785,758
30.42,-97.69,259,199
30.42,-97.68,482,487
30.42,-97.67,11662,11704
30.42,-97.66,40,79
30.43,-97.77,445,585
30.43,-97.76,3743,3185
30.43,-97.75,64,199
30.43,-97.68,723,662
30.43,-97.67,0,2
30.43,-97.66,1,0
30.43,-97.65,61,94
30.44,-97.78,131,339
30.44,-97.77,493,175
30.44,-97.7,3905,3660
30.44,-97.69,346,382
30.44,-97.68,338,354
30.44,-97.67,206,265
30.44,-97.66,254,237
30.45,-97.8,157,157
30.45,-97.79,535,498
30.45,-97.78,1,7
30.45,-97.69,26,7
30.46,-97.8,724,631
30.46,-97.79,559,504
30.47,-97.8,622,704
30.47,-97.79,414,353
30.48,-97.81,2,6
30.48,-97.8,199,306
30.48,-97.79,6639,6613
30.5,-97.81,8,3
30.51,-97.81,4,6
30.53,-97.83,0,0
30.56,-97.84,0,0
30.56,-97.82,0,13
30.57,-97.85,0,0
30.57,-97.83,3,0
30.58,-97.86,0,0
30.58,-97.85,0,0
30.58,-97.84,0,0
30.58,-97.83,1,1
30.59,-97.86,2798,2787
30.59,-97.85,11,14
30.6,-97.85,5,2
30.94,-97.51,87,94
